modelo,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.8105039034776437,0.6616314199395771,0.5855614973262032,0.6212765957446809,0.14565863235939963
RandomForest,0.794889992902768,0.6556776556776557,0.4786096256684492,0.5533230293663061,0.16365315559688962
XGBoost,0.7764371894960965,0.5795148247978437,0.5748663101604278,0.5771812080536913,0.1842258906197525
